"filename", "language", "Vue", "TypeScript", "comment", "blank", "total"
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Activity.vue", "Vue", -3, 0, 0, -5, -8
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Answer.vue", "Vue", 8, 0, -5, 0, 3
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\BackgroundAnimation.vue", "Vue", 23, 0, 11, 0, 34
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\CrossStar.vue", "Vue", 12, 0, 12, 0, 24
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Dashboard.vue", "Vue", -3, 0, -9, -9, -21
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\DashboardAdmin.vue", "Vue", -9, 0, 2, -7, -14
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Delete.vue", "Vue", 19, 0, 11, -2, 28
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Edit.vue", "Vue", 1, 0, -2, -7, -8
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\FeedBack.vue", "Vue", 30, 0, -1, -1, 28
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Neural.vue", "Vue", 12, 0, 10, 1, 23
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Official.vue", "Vue", 0, 0, 7, 0, 7
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Pay.vue", "Vue", 8, 0, -3, -4, 1
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\PersonContent.vue", "Vue", 2, 0, 8, -5, 5
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Personalizaion.vue", "Vue", 18, 0, 1, 3, 22
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Slider.vue", "Vue", 37, 0, 27, -1, 63
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\components\Starfield.vue", "Vue", 7, 0, 0, 0, 7
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\router\index.ts", "TypeScript", 0, -6, 0, 0, -6
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\SystemManagement.vue", "Vue", -2, 0, -1, 0, -3
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\AdminOperations\UserManagement.vue", "Vue", -6, 0, 0, 0, -6
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Framework.vue", "Vue", 17, 0, 3, 0, 20
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\ImageSearch.vue", "Vue", 15, 0, -11, 2, 6
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Login.vue", "Vue", 3, 0, -20, -6, -23
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Profile.vue", "Vue", 18, 0, -1, -1, 16
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\Test.vue", "Vue", -73, 0, -8, -15, -96
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\TextSearch.vue", "Vue", 22, 0, -6, 2, 18
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\dialogue.vue", "Vue", 24, 0, 7, 5, 36
"e:\新桌面2.0\图灵不灵\RetrievalSystem_front\src\views\others.vue", "Vue", 39, 0, -1, 3, 41
"Total", "-", 219, -6, 31, -47, 197
